Order,X,Y,Heading
0,1.0,1.0,90.0
1,1.1,1.0,90.0
2,1.2,1.0,90.0
3,1.3,1.0,90.0
4,1.4,1.0,90.0
5,1.5,1.0,90.0
6,1.6,1.0,90.0
7,1.7,1.0,90.0
8,1.8,1.0,90.0
9,1.9,1.0,90.0
10,2.0,1.0,90.0
11,2.0999999999999996,1.0,90.0
12,2.2,1.0,90.0
13,2.3,1.0,90.0
14,2.4,1.0,90.0
15,2.5,1.0,90.0
16,2.6,1.0,90.0
17,2.7,1.0,90.0
18,2.8,1.0,90.0
19,2.9,1.0,90.0
20,3.0,1.0,90.0
21,3.0999999999999996,1.0,90.0
22,3.1999999999999997,1.0,90.0
23,3.3000000000000003,1.0,90.0
24,3.4000000000000004,1.0,90.0
25,3.5,1.0,90.0
26,3.6,1.0,90.0
27,3.7,1.0,90.0
28,3.8,1.0,90.0
29,3.9,1.0,90.0
30,4.0,1.0,180.0
31,4.0,1.1,180.0
32,4.0,1.2,180.0
33,4.0,1.3,180.0
34,4.0,1.4,180.0
35,4.0,1.5,180.0
36,4.0,1.6,180.0
37,4.0,1.7,180.0
38,4.0,1.8,180.0
39,4.0,1.9,180.0
40,4.0,2.0,180.0
41,4.0,2.1,180.0
42,4.0,2.2,180.0
43,4.0,2.3,180.0
44,4.0,2.4,180.0
45,4.0,2.5,180.0
46,4.0,2.6,180.0
47,4.0,2.7,180.0
48,4.0,2.8,180.0
49,4.0,2.9,180.0
50,4.0,3.0,270.0
51,3.9,3.0,270.0
52,3.8,3.0,270.0
53,3.7,3.0,270.0
54,3.6,3.0,270.0
55,3.5,3.0,270.0
56,3.4,3.0,270.0
57,3.3,3.0,270.0
58,3.2,3.0,270.0
59,3.1,3.0,270.0
60,3.0,3.0,270.0
61,2.9000000000000004,3.0,270.0
62,2.8,3.0,270.0
63,2.7,3.0,270.0
64,2.6,3.0,270.0
65,2.5,3.0,270.0
66,2.4,3.0,270.0
67,2.3,3.0,270.0
68,2.2,3.0,270.0
69,2.1,3.0,270.0
70,2.0,3.0,270.0
71,1.9000000000000004,3.0,270.0
72,1.8000000000000003,3.0,270.0
73,1.6999999999999997,3.0,270.0
74,1.5999999999999996,3.0,270.0
75,1.5,3.0,270.0
76,1.4,3.0,270.0
77,1.2999999999999998,3.0,270.0
78,1.2000000000000002,3.0,270.0
79,1.1,3.0,270.0
80,1.0,3.0,90.0
81,1.1,3.0,90.0
82,1.2,3.0,90.0
83,1.3,3.0,90.0
84,1.4,3.0,90.0
85,1.5,3.0,90.0
86,1.6,3.0,90.0
87,1.7,3.0,90.0
88,1.8,3.0,90.0
89,1.9,3.0,90.0
90,2.0,3.0,90.0
91,2.0999999999999996,3.0,90.0
92,2.2,3.0,90.0
93,2.3,3.0,90.0
94,2.4,3.0,90.0
95,2.5,3.0,90.0
96,2.6,3.0,90.0
97,2.7,3.0,90.0
98,2.8,3.0,90.0
99,2.9,3.0,90.0
100,3.0,3.0,90.0
101,3.0999999999999996,3.0,90.0
102,3.1999999999999997,3.0,90.0
103,3.3000000000000003,3.0,90.0
104,3.4000000000000004,3.0,90.0
105,3.5,3.0,90.0
106,3.6,3.0,90.0
107,3.7,3.0,90.0
108,3.8,3.0,90.0
109,3.9,3.0,90.0
110,4.0,3.0,0.0
111,4.0,2.9,0.0
112,4.0,2.8,0.0
113,4.0,2.7,0.0
114,4.0,2.6,0.0
115,4.0,2.5,0.0
116,4.0,2.4,0.0
117,4.0,2.3,0.0
118,4.0,2.2,0.0
119,4.0,2.1,0.0
120,4.0,2.0,0.0
121,4.0,1.9,0.0
122,4.0,1.8,0.0
123,4.0,1.7,0.0
124,4.0,1.6,0.0
125,4.0,1.5,0.0
126,4.0,1.4,0.0
127,4.0,1.3,0.0
128,4.0,1.2,0.0
129,4.0,1.1,0.0
130,4.0,1.0,90.0
131,4.1,1.0,90.0
132,4.2,1.0,90.0
133,4.3,1.0,90.0
134,4.4,1.0,90.0
135,4.5,1.0,90.0
136,4.6,1.0,90.0
137,4.7,1.0,90.0
138,4.8,1.0,90.0
139,4.9,1.0,90.0
140,5.0,1.0,90.0
141,5.1,1.0,90.0
142,5.2,1.0,90.0
143,5.3,1.0,90.0
144,5.4,1.0,90.0
145,5.5,1.0,90.0
146,5.6,1.0,90.0
147,5.7,1.0,90.0
148,5.8,1.0,90.0
149,5.9,1.0,90.0
150,6.0,1.0,90.0
151,6.1,1.0,90.0
152,6.199999999999999,1.0,90.0
153,6.300000000000001,1.0,90.0
154,6.4,1.0,90.0
155,6.5,1.0,90.0
156,6.6,1.0,90.0
157,6.7,1.0,90.0
158,6.8,1.0,90.0
159,6.9,1.0,90.0
160,7.0,1.0,270.0
161,6.9,1.0,270.0
162,6.8,1.0,270.0
163,6.7,1.0,270.0
164,6.6,1.0,270.0
165,6.5,1.0,270.0
166,6.4,1.0,270.0
167,6.3,1.0,270.0
168,6.2,1.0,270.0
169,6.1,1.0,270.0
170,6.0,1.0,270.0
171,5.9,1.0,270.0
172,5.8,1.0,270.0
173,5.7,1.0,270.0
174,5.6,1.0,270.0
175,5.5,1.0,270.0
176,5.4,1.0,270.0
177,5.3,1.0,270.0
178,5.2,1.0,270.0
179,5.1,1.0,270.0
180,5.0,1.0,270.0
181,4.9,1.0,270.0
182,4.800000000000001,1.0,270.0
183,4.699999999999999,1.0,270.0
184,4.6,1.0,270.0
185,4.5,1.0,270.0
186,4.4,1.0,270.0
187,4.3,1.0,270.0
188,4.2,1.0,270.0
189,4.1,1.0,270.0
190,4.0,1.0,180.0
191,4.0,1.1,180.0
192,4.0,1.2,180.0
193,4.0,1.3,180.0
194,4.0,1.4,180.0
195,4.0,1.5,180.0
196,4.0,1.6,180.0
197,4.0,1.7,180.0
198,4.0,1.8,180.0
199,4.0,1.9,180.0
200,4.0,2.0,180.0
201,4.0,2.1,180.0
202,4.0,2.2,180.0
203,4.0,2.3,180.0
204,4.0,2.4,180.0
205,4.0,2.5,180.0
206,4.0,2.6,180.0
207,4.0,2.7,180.0
208,4.0,2.8,180.0
209,4.0,2.9,180.0
210,4.0,3.0,90.0
211,4.1,3.0,90.0
212,4.2,3.0,90.0
213,4.3,3.0,90.0
214,4.4,3.0,90.0
215,4.5,3.0,90.0
216,4.6,3.0,90.0
217,4.7,3.0,90.0
218,4.8,3.0,90.0
219,4.9,3.0,90.0
220,5.0,3.0,90.0
221,5.1,3.0,90.0
222,5.2,3.0,90.0
223,5.3,3.0,90.0
224,5.4,3.0,90.0
225,5.5,3.0,90.0
226,5.6,3.0,90.0
227,5.7,3.0,90.0
228,5.8,3.0,90.0
229,5.9,3.0,90.0
230,6.0,3.0,90.0
231,6.1,3.0,90.0
232,6.199999999999999,3.0,90.0
233,6.300000000000001,3.0,90.0
234,6.4,3.0,90.0
235,6.5,3.0,90.0
236,6.6,3.0,90.0
237,6.7,3.0,90.0
238,6.8,3.0,90.0
239,6.9,3.0,90.0
240,7.0,3.0,0.0
