Order,X,Y,Heading
0,1.0,1.0,180.0
1,1.0,1.1,180.0
2,1.0,1.2,180.0
3,1.0,1.3,180.0
4,1.0,1.4,180.0
5,1.0,1.5,180.0
6,1.0,1.6,180.0
7,1.0,1.7,180.0
8,1.0,1.8,180.0
9,1.0,1.9,180.0
10,1.0,2.0,180.0
11,1.0,2.1,180.0
12,1.0,2.2,180.0
13,1.0,2.3,180.0
14,1.0,2.4,180.0
15,1.0,2.5,180.0
16,1.0,2.6,180.0
17,1.0,2.7,180.0
18,1.0,2.8,180.0
19,1.0,2.9,180.0
20,1.0,3.0,180.0
21,1.0,3.1,180.0
22,1.0,3.2,180.0
23,1.0,3.3,180.0
24,1.0,3.4,180.0
25,1.0,3.5,180.0
26,1.0,3.6,180.0
27,1.0,3.7,180.0
28,1.0,3.8,180.0
29,1.0,3.9,180.0
30,1.0,4.0,180.0
31,1.0,4.1,180.0
32,1.0,4.2,180.0
33,1.0,4.3,180.0
34,1.0,4.4,180.0
35,1.0,4.5,180.0
36,1.0,4.6,180.0
37,1.0,4.7,180.0
38,1.0,4.8,180.0
39,1.0,4.9,180.0
40,1.0,5.0,90.0
41,1.1,5.0,90.0
42,1.2,5.0,90.0
43,1.3,5.0,90.0
44,1.4,5.0,90.0
45,1.5,5.0,90.0
46,1.6,5.0,90.0
47,1.7,5.0,90.0
48,1.8,5.0,90.0
49,1.9,5.0,90.0
50,2.0,5.0,0.0
51,2.0,4.9,0.0
52,2.0,4.8,0.0
53,2.0,4.7,0.0
54,2.0,4.6,0.0
55,2.0,4.5,0.0
56,2.0,4.4,0.0
57,2.0,4.3,0.0
58,2.0,4.2,0.0
59,2.0,4.1,0.0
60,2.0,4.0,0.0
61,2.0,3.9,0.0
62,2.0,3.8,0.0
63,2.0,3.7,0.0
64,2.0,3.6,0.0
65,2.0,3.5,0.0
66,2.0,3.4,0.0
67,2.0,3.3,0.0
68,2.0,3.2,0.0
69,2.0,3.1,0.0
70,2.0,3.0,0.0
71,2.0,2.9,0.0
72,2.0,2.8,0.0
73,2.0,2.7,0.0
74,2.0,2.6,0.0
75,2.0,2.5,0.0
76,2.0,2.4,0.0
77,2.0,2.3,0.0
78,2.0,2.2,0.0
79,2.0,2.1,0.0
80,2.0,2.0,0.0
81,2.0,1.9,0.0
82,2.0,1.7999999999999998,0.0
83,2.0,1.7000000000000002,0.0
84,2.0,1.6,0.0
85,2.0,1.5,0.0
86,2.0,1.4,0.0
87,2.0,1.2999999999999998,0.0
88,2.0,1.2000000000000002,0.0
89,2.0,1.1,0.0
90,2.0,1.0,90.0
91,2.1,1.0,90.0
92,2.2,1.0,90.0
93,2.3,1.0,90.0
94,2.4,1.0,90.0
95,2.5,1.0,90.0
96,2.6,1.0,90.0
97,2.7,1.0,90.0
98,2.8,1.0,90.0
99,2.9,1.0,90.0
100,3.0,1.0,180.0
101,3.0,1.1,180.0
102,3.0,1.2,180.0
103,3.0,1.3,180.0
104,3.0,1.4,180.0
105,3.0,1.5,180.0
106,3.0,1.6,180.0
107,3.0,1.7,180.0
108,3.0,1.8,180.0
109,3.0,1.9,180.0
110,3.0,2.0,180.0
111,3.0,2.1,180.0
112,3.0,2.2,180.0
113,3.0,2.3,180.0
114,3.0,2.4,180.0
115,3.0,2.5,180.0
116,3.0,2.6,180.0
