Order,X,Y,Heading
0,0.5,0.5,90.0
1,0.55,0.5,90.0
2,0.6,0.5,90.0
3,0.65,0.5,90.0
4,0.7,0.5,90.0
5,0.75,0.5,90.0
6,0.8,0.5,90.0
7,0.85,0.5,90.0
8,0.9,0.5,90.0
9,0.95,0.5,90.0
10,1.0,0.5,90.0
11,1.0499999999999998,0.5,90.0
12,1.1,0.5,90.0
13,1.15,0.5,90.0
14,1.2,0.5,90.0
15,1.25,0.5,90.0
16,1.3,0.5,90.0
17,1.35,0.5,90.0
18,1.4,0.5,90.0
19,1.45,0.5,90.0
20,1.5,0.5,90.0
21,1.5499999999999998,0.5,90.0
22,1.5999999999999999,0.5,90.0
23,1.6500000000000001,0.5,90.0
24,1.7000000000000002,0.5,90.0
25,1.75,0.5,90.0
26,1.8,0.5,90.0
27,1.85,0.5,90.0
28,1.9,0.5,90.0
29,1.95,0.5,90.0
30,2.0,0.5,180.0
31,2.0,0.55,180.0
32,2.0,0.6,180.0
33,2.0,0.65,180.0
34,2.0,0.7,180.0
35,2.0,0.75,180.0
36,2.0,0.8,180.0
37,2.0,0.85,180.0
38,2.0,0.9,180.0
39,2.0,0.95,180.0
40,2.0,1.0,180.0
41,2.0,1.05,180.0
42,2.0,1.1,180.0
43,2.0,1.15,180.0
44,2.0,1.2,180.0
45,2.0,1.25,180.0
46,2.0,1.3,180.0
47,2.0,1.35,180.0
48,2.0,1.4,180.0
49,2.0,1.45,180.0
50,2.0,1.5,270.0
51,1.95,1.5,270.0
52,1.9,1.5,270.0
53,1.85,1.5,270.0
54,1.8,1.5,270.0
55,1.75,1.5,270.0
56,1.7,1.5,270.0
57,1.65,1.5,270.0
58,1.6,1.5,270.0
59,1.55,1.5,270.0
60,1.5,1.5,270.0
61,1.4500000000000002,1.5,270.0
62,1.4,1.5,270.0
63,1.35,1.5,270.0
64,1.3,1.5,270.0
65,1.25,1.5,270.0
66,1.2,1.5,270.0
67,1.15,1.5,270.0
68,1.1,1.5,270.0
69,1.05,1.5,270.0
70,1.0,1.5,270.0
71,0.9500000000000002,1.5,270.0
72,0.9000000000000001,1.5,270.0
73,0.8499999999999999,1.5,270.0
74,0.7999999999999998,1.5,270.0
75,0.75,1.5,270.0
76,0.7,1.5,270.0
77,0.6499999999999999,1.5,270.0
78,0.6000000000000001,1.5,270.0
79,0.55,1.5,270.0
80,0.5,1.5,90.0
81,0.55,1.5,90.0
82,0.6,1.5,90.0
83,0.65,1.5,90.0
84,0.7,1.5,90.0
85,0.75,1.5,90.0
86,0.8,1.5,90.0
87,0.85,1.5,90.0
88,0.9,1.5,90.0
89,0.95,1.5,90.0
90,1.0,1.5,90.0
91,1.0499999999999998,1.5,90.0
92,1.1,1.5,90.0
93,1.15,1.5,90.0
94,1.2,1.5,90.0
95,1.25,1.5,90.0
96,1.3,1.5,90.0
97,1.35,1.5,90.0
98,1.4,1.5,90.0
99,1.45,1.5,90.0
100,1.5,1.5,90.0
101,1.5499999999999998,1.5,90.0
102,1.5999999999999999,1.5,90.0
103,1.6500000000000001,1.5,90.0
104,1.7000000000000002,1.5,90.0
105,1.75,1.5,90.0
106,1.8,1.5,90.0
107,1.85,1.5,90.0
108,1.9,1.5,90.0
109,1.95,1.5,90.0
110,2.0,1.5,0.0
111,2.0,1.45,0.0
112,2.0,1.4,0.0
113,2.0,1.35,0.0
114,2.0,1.3,0.0
115,2.0,1.25,0.0
116,2.0,1.2,0.0
117,2.0,1.15,0.0
118,2.0,1.1,0.0
119,2.0,1.05,0.0
120,2.0,1.0,0.0
121,2.0,0.95,0.0
122,2.0,0.9,0.0
123,2.0,0.85,0.0
124,2.0,0.8,0.0
125,2.0,0.75,0.0
126,2.0,0.7,0.0
127,2.0,0.65,0.0
128,2.0,0.6,0.0
129,2.0,0.55,0.0
130,2.0,0.5,90.0
131,2.05,0.5,90.0
132,2.1,0.5,90.0
133,2.15,0.5,90.0
134,2.2,0.5,90.0
135,2.25,0.5,90.0
136,2.3,0.5,90.0
137,2.35,0.5,90.0
138,2.4,0.5,90.0
139,2.45,0.5,90.0
140,2.5,0.5,90.0
141,2.55,0.5,90.0
142,2.6,0.5,90.0
143,2.65,0.5,90.0
144,2.7,0.5,90.0
145,2.75,0.5,90.0
146,2.8,0.5,90.0
147,2.85,0.5,90.0
148,2.9,0.5,90.0
149,2.95,0.5,90.0
150,3.0,0.5,90.0
151,3.05,0.5,90.0
152,3.0999999999999996,0.5,90.0
153,3.1500000000000004,0.5,90.0
154,3.2,0.5,90.0
155,3.25,0.5,90.0
156,3.3,0.5,90.0
157,3.35,0.5,90.0
158,3.4,0.5,90.0
159,3.45,0.5,90.0
160,3.5,0.5,270.0
161,3.45,0.5,270.0
162,3.4,0.5,270.0
163,3.35,0.5,270.0
164,3.3,0.5,270.0
165,3.25,0.5,270.0
166,3.2,0.5,270.0
167,3.15,0.5,270.0
168,3.1,0.5,270.0
169,3.05,0.5,270.0
170,3.0,0.5,270.0
171,2.95,0.5,270.0
172,2.9,0.5,270.0
173,2.85,0.5,270.0
174,2.8,0.5,270.0
175,2.75,0.5,270.0
176,2.7,0.5,270.0
177,2.65,0.5,270.0
178,2.6,0.5,270.0
179,2.55,0.5,270.0
180,2.5,0.5,270.0
181,2.45,0.5,270.0
182,2.4000000000000004,0.5,270.0
183,2.3499999999999996,0.5,270.0
184,2.3,0.5,270.0
185,2.25,0.5,270.0
186,2.2,0.5,270.0
187,2.15,0.5,270.0
188,2.1,0.5,270.0
189,2.05,0.5,270.0
190,2.0,0.5,180.0
191,2.0,0.55,180.0
192,2.0,0.6,180.0
193,2.0,0.65,180.0
194,2.0,0.7,180.0
195,2.0,0.75,180.0
196,2.0,0.8,180.0
197,2.0,0.85,180.0
198,2.0,0.9,180.0
199,2.0,0.95,180.0
200,2.0,1.0,180.0
201,2.0,1.05,180.0
202,2.0,1.1,180.0
203,2.0,1.15,180.0
204,2.0,1.2,180.0
205,2.0,1.25,180.0
206,2.0,1.3,180.0
207,2.0,1.35,180.0
208,2.0,1.4,180.0
209,2.0,1.45,180.0
210,2.0,1.5,90.0
211,2.05,1.5,90.0
212,2.1,1.5,90.0
213,2.15,1.5,90.0
214,2.2,1.5,90.0
215,2.25,1.5,90.0
216,2.3,1.5,90.0
217,2.35,1.5,90.0
218,2.4,1.5,90.0
219,2.45,1.5,90.0
220,2.5,1.5,90.0
221,2.55,1.5,90.0
222,2.6,1.5,90.0
223,2.65,1.5,90.0
224,2.7,1.5,90.0
225,2.75,1.5,90.0
226,2.8,1.5,90.0
227,2.85,1.5,90.0
228,2.9,1.5,90.0
229,2.95,1.5,90.0
230,3.0,1.5,90.0
231,3.05,1.5,90.0
232,3.0999999999999996,1.5,90.0
233,3.1500000000000004,1.5,90.0
234,3.2,1.5,90.0
235,3.25,1.5,90.0
236,3.3,1.5,90.0
237,3.35,1.5,90.0
238,3.4,1.5,90.0
239,3.45,1.5,90.0
240,3.5,1.5,0.0
