Order,X,Y,Heading
0,0.5,0.5,180.0
1,0.5,0.55,180.0
2,0.5,0.6,180.0
3,0.5,0.65,180.0
4,0.5,0.7,180.0
5,0.5,0.75,180.0
6,0.5,0.8,180.0
7,0.5,0.85,180.0
8,0.5,0.9,180.0
9,0.5,0.95,180.0
10,0.5,1.0,180.0
11,0.5,1.05,180.0
12,0.5,1.1,180.0
13,0.5,1.15,180.0
14,0.5,1.2,180.0
15,0.5,1.25,180.0
16,0.5,1.3,180.0
17,0.5,1.35,180.0
18,0.5,1.4,180.0
19,0.5,1.45,180.0
20,0.5,1.5,180.0
21,0.5,1.55,180.0
22,0.5,1.6,180.0
23,0.5,1.65,180.0
24,0.5,1.7,180.0
25,0.5,1.75,180.0
26,0.5,1.8,180.0
27,0.5,1.85,180.0
28,0.5,1.9,180.0
29,0.5,1.95,180.0
30,0.5,2.0,180.0
31,0.5,2.05,180.0
32,0.5,2.1,180.0
33,0.5,2.15,180.0
34,0.5,2.2,180.0
35,0.5,2.25,180.0
36,0.5,2.3,180.0
37,0.5,2.35,180.0
38,0.5,2.4,180.0
39,0.5,2.45,180.0
40,0.5,2.5,90.0
41,0.55,2.5,90.0
42,0.6,2.5,90.0
43,0.65,2.5,90.0
44,0.7,2.5,90.0
45,0.75,2.5,90.0
46,0.8,2.5,90.0
47,0.85,2.5,90.0
48,0.9,2.5,90.0
49,0.95,2.5,90.0
50,1.0,2.5,0.0
51,1.0,2.45,0.0
52,1.0,2.4,0.0
53,1.0,2.35,0.0
54,1.0,2.3,0.0
55,1.0,2.25,0.0
56,1.0,2.2,0.0
57,1.0,2.15,0.0
58,1.0,2.1,0.0
59,1.0,2.05,0.0
60,1.0,2.0,0.0
61,1.0,1.95,0.0
62,1.0,1.9,0.0
63,1.0,1.85,0.0
64,1.0,1.8,0.0
65,1.0,1.75,0.0
66,1.0,1.7,0.0
67,1.0,1.65,0.0
68,1.0,1.6,0.0
69,1.0,1.55,0.0
70,1.0,1.5,0.0
71,1.0,1.45,0.0
72,1.0,1.4,0.0
73,1.0,1.35,0.0
74,1.0,1.3,0.0
75,1.0,1.25,0.0
76,1.0,1.2,0.0
77,1.0,1.15,0.0
78,1.0,1.1,0.0
79,1.0,1.05,0.0
80,1.0,1.0,0.0
81,1.0,0.95,0.0
82,1.0,0.8999999999999999,0.0
83,1.0,0.8500000000000001,0.0
84,1.0,0.8,0.0
85,1.0,0.75,0.0
86,1.0,0.7,0.0
87,1.0,0.6499999999999999,0.0
88,1.0,0.6000000000000001,0.0
89,1.0,0.55,0.0
